Day,District,Total Population,Lower End of 95% CI of Predicted Cases,Upper End of 95% CI of Predicted Cases
13,Jamshoro,986871,2598.125,10371.924999999997
13,Ghotki,1638241,4280.549999999999,7871.5
13,Kashmore,1079057,5095.425,8993.924999999996
13,Sukkur,1440979,22436.425,31025.1
13,Matiari,767251,650.9749999999999,2073.249999999999
13,Sanghar,2055016,1129.9,2089.2749999999996
13,Jacobabad,1003443,1295.875,2785.6749999999993
13,Shikarpur,1215502,5900.05,11512.974999999995
13,Nawabshah,2007281,2068.075,4203.125
13,Karachi,17034124,23380.800000000003,260539.0499999995
13,Khairpur,2393288,5511.625,9464.525
13,Umerkot,1072430,220.35000000000002,1020.9749999999999
14,Badin,1804208,377.45,1413.4249999999984
14,Thatta,1758688,2226.425,19317.999999999978
14,Tando Muhammad Khan,676901,531.75,1743.9999999999995
14,Hyderabad,2195641,2424.375,13772.324999999983
14,Tando Allahyar,835838,859.7,3253.2999999999984
14,Mirpur Khas,1504862,267.9,1086.1499999999992
14,Tharparker,1649506,56.425,345.04999999999995
14,Dadu,1549188,569.225,1608.4249999999997
14,Qambar Shahdadkot,1338677,410.075,2001.5749999999994
14,Larkana,1522467,1977.5,4369.099999999999
14,Naushahro Firoz,1609155,3166.0,6787.024999999999
14,Jamshoro,986871,4130.95,22100.224999999995
14,Ghotki,1638241,7242.1,12744.25
14,Kashmore,1079057,8006.925,14166.474999999999
14,Sukkur,1440979,33140.65,46721.624999999985
14,Matiari,767251,1248.625,3460.4999999999986
14,Sanghar,2055016,1917.4250000000002,3532.649999999998
14,Jacobabad,1003443,2147.95,4697.125
14,Shikarpur,1215502,9045.875,17930.725
14,Nawabshah,2007281,3377.1000000000004,6775.649999999998
14,Karachi,17034124,41213.15,496417.3749999999
14,Khairpur,2393288,8639.849999999999,14815.849999999999
14,Umerkot,1072430,375.325,1580.4999999999995
